,AGE,APG,BPG,BPM,DBPM,DRBG,DWS,FPG,GP,OBPM,ORBG,OWS,PER,PPG,RPG,SPG,TPG,USG,Unnamed: 0,VORP,WS,YEAR
121,4.023442502,1.693979299,0.4537579731,4.574502401,2.157272778,1.780231012,1.2052505,0.8180588234,26.7690533,3.701459125,0.8307012596,1.911753719,5.866766953,5.806900741,2.492659613,0.4161913506,0.742751299,5.297701057,166.998503,1.246342487,2.856065036,0
122,26.736,1.731313331,0.3940118754,-2.08864,-0.37504,2.461612484,1.09584,1.817170947,47.0096,-1.71136,0.8862463002,1.17344,12.19984,7.82951233,3.347858784,0.5971616932,1.133656894,18.33472,20813,0.5144,2.27008,2011
123,4.063486567,1.88587958,0.4135862415,3.737391055,1.965222725,1.686663246,1.159222485,0.7766080425,26.21367885,3.226480316,0.7742104744,1.918883516,5.575402421,5.686400203,2.335783332,0.4140177886,0.775037508,5.295398428,180.566239,1.167213974,2.822054425,0
124,26.63339383,1.715701032,0.427982195,-1.740471869,-0.2148820327,2.554952781,0.9237749546,1.709721902,40.05989111,-1.52831216,0.9478743084,0.9818511797,12.73194192,7.702501449,3.50282709,0.6440779466,1.184728254,18.48892922,21402,0.4439201452,1.907441016,2012
125,4.203450002,1.732613568,0.4593753244,3.847073853,2.09224454,1.64230656,0.9441480509,0.7259743111,20.83393314,3.178712813,0.8266436769,1.622275905,5.536795565,5.402757956,2.324975134,0.4142960799,0.7534967927,5.190761455,159.2042713,0.9875747451,2.327854842,0
126,26.53577661,1.732189401,0.3892381575,-2.493717277,-0.5642233857,2.424245372,1.109424084,1.636046122,49.21989529,-1.929319372,0.8909129506,1.186561955,12.12797203,7.430189486,3.315158322,0.6051699175,1.108729921,18.70332168,21965,0.5191972077,2.295811518,2013
127,4.230780603,1.76011096,0.4412392148,4.841757718,2.270561289,1.778533946,1.155958348,0.7471466091,25.92567015,3.89763857,0.8655511877,1.968673601,6.04057971,5.387079519,2.522982123,0.429016717,0.746161363,5.199737918,165.5551268,1.24218454,2.826352621,0
128,26.47299509,1.678433603,0.3622206393,-2.404746318,-0.5335515548,2.470453247,1.071358429,1.680873382,46.7806874,-1.869721768,0.8471331585,1.121276596,12.20081833,7.546175614,3.317586405,0.596687864,1.107791926,18.23797054,22558,0.4960720131,2.193126023,2014
129,4.053394534,1.754466054,0.4171415352,4.89967149,2.504475402,1.748886101,1.140957875,0.7954483669,26.80398221,4.235797843,0.803734139,1.909812198,7.76162371,5.704855926,2.424935234,0.4309059773,0.7928689718,5.853358162,176.5247858,1.219184471,2.790608116,0
130,26.50076805,1.812807762,0.3581457409,-2.031797235,-0.5244239631,2.498035571,1.032411674,1.684412131,45.96006144,-1.507526882,0.8533144158,1.086482335,12.54915515,7.794814813,3.351349986,0.6321086664,1.133804238,19.00291859,23190,0.4823348694,2.122580645,2015
